concepto,descripcion
gan,"Una red adversaria generativa (GaN) es una clase de marcos de aprendizaje automático y un marco destacado para abordar la inteligencia artificial generativa. El concepto fue desarrollado inicialmente por Ian Goodfellow y sus colegas en junio de 2014. En un GaN, dos redes neuronales concursan entre sí en forma de un juego de suma cero, donde la ganancia de un agente es la pérdida de otro agente."
transformador generativo previamente entrenado,"Un modelo extenso de lenguaje o LLM (siglas en inglés para Large Language Model), también llamado modelo de lenguaje de gran tamaño, modelo de lenguaje grande,​ o gran modelo de lenguaje,​ es un modelo de lenguaje de aprendizaje profundo, que consta de una red neuronal con muchos parámetros (normalmente miles de millones o más), entrenados en grandes cantidades de texto sin etiquetar mediante aprendizaje autosupervisado o aprendizaje semisupervisado.​ Los LLMs surgieron alrededor de 2018[cita requerida] y se desempeñan bien en una amplia variedad de tareas. Esto ha cambiado el enfoque de la investigación del procesamiento del lenguaje natural alejándose del paradigma anterior de entrenar modelos supervisados especializados para tareas específicas. "
hitl,"El humano en el bucle (HITL) se usa en múltiples contextos. Se puede definir como un modelo que requiere interacción humana. HITL está asociado con el modelado y la simulación (M&S) en la taxonomía en vivo, virtual y constructiva. HITL junto con el humano relacionado sobre el bucle también se usan en relación con las armas autónomas letales. Además, HITL se usa en el contexto del aprendizaje automático."
i.i.d.,"En la teoría y las estadísticas de la probabilidad, una colección de variables aleatorias es independiente y se distribuye idénticamente (I.I.D., IID o IID) si cada variable aleatoria tiene la misma distribución de probabilidad que las demás y todas son mutuamente independientes. IID se definió por primera vez en estadísticas y encuentra aplicación en muchos campos, como la minería de datos y el procesamiento de señales."
iou,"La Luddy School of Informatics, Computing and Engineering es una unidad académica de la Universidad de Indiana ubicada en el campus de la Universidad de Indiana Bloomington (IUB) y en el campus de Indianapolis de la Universidad de Indiana (IUI). En el campus de Bloomington, la escuela está formada por el Departamento de Informática, el Departamento de Ciencias de la Computación, el Departamento de Información y Biblioteca y el Departamento de Ingeniería de Sistemas Inteligentes. En el campus de Indianapolis, la escuela consiste en el Departamento de Computación Centrada en Humanos, el Departamento de Informática de BioHealth y el Departamento de Biblioteca y Ciencias de la Información."
ksvm,"En el aprendizaje automático, el núcleo polinomial es una función del núcleo comúnmente utilizada con máquinas de vectores de soporte (SVM) y otros modelos kernelizados, que representa la similitud de los vectores (muestras de entrenamiento) en un espacio de características sobre polinomios de las variables originales, lo que permite el aprendizaje de modelos no lineales."
modelo de lenguaje para aplicaciones de diálogo,"LLaMA (Large Language Model Meta AI) es un gran modelo de lenguaje (LLM) lanzado por Meta AI en febrero de 2023. Se entrenó una variedad de modelos de tamaños diversos que van desde 7000 millones a 65 000 millones de parámetros. Los desarrolladores de LLaMA informaron que el rendimiento del modelo de 13 000 millones de parámetros en la mayoría de los puntos de referenciade NLP superó al mucho más grande del GPT-3 (con 175 000 millones de parámetros) y que el modelo más grande era competitivo con modelos de última generación como PaLM540B​ y Chinchilla70B.​​ Mientras que los LLM más poderosos generalmente han sido accesibles solo a través de API limitadas (si es que lo han hecho), Meta lanzó el modelo de LLaMA a la comunidad de investigación bajo una licencia no comercial.​ Una semana después del lanzamiento de LLaMA, sus datos se filtraron al público en 4chan a través de BitTorrent.​"
tf.layers,"Una red neuronal convolucional (CNN) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma a través de la optimización del filtro (o núcleo). Este tipo de red de aprendizaje profundo se ha aplicado para procesar y hacer predicciones de muchos tipos diferentes de datos, incluidos texto, imágenes y audio. Las redes basadas en la convolución son el estándar de facto en enfoques basados ​​en el aprendizaje profundo para la visión por computadora y el procesamiento de imágenes, y solo recientemente han sido reemplazados, en algunos casos, por nuevas arquitecturas de aprendizaje profundo como el transformador. Los gradientes de desaparición y los gradientes explosivos, vistos durante la propagación de retroceso en redes neuronales anteriores, se evitan mediante el uso de pesos regularizados en menos conexiones. Por ejemplo, para cada neurona en la capa totalmente conectada, se requerirían 10,000 pesos para procesar una imagen de 100 × 100 píxeles. Sin embargo, la aplicación de núcleos de convolución en cascada (o correlación cruzada), solo se requieren 25 pesos para cada capa convolucional para procesar los mosaicos de tamaño 5x5. Las características de mayor capa se extraen de ventanas de contexto más amplias, en comparación con las características de la capa inferior."
evals,"La evaluación de un clasificador binario generalmente asigna un valor numérico, o valores, a un clasificador que representa su precisión. Un ejemplo es la tasa de error, que mide la frecuencia con la que el clasificador comete un error."
mdp,"El proceso de decisión de Markov (MDP), también llamado programa dinámico estocástico o problema de control estocástico, es un modelo para la toma de decisiones secuenciales cuando los resultados son inciertos."
ecm,"Un modelo de corrección de errores (ECM) pertenece a una categoría de múltiples modelos de series temporales más utilizados para los datos donde las variables subyacentes tienen una tendencia estocástica común a largo plazo, también conocida como cointegración. Los ECM son un enfoque teóricamente útil para estimar los efectos a corto y largo plazo de una serie de tiempo en otra. El término corrección de error se relaciona con el hecho de que la desviación del último período de un equilibrio a largo plazo, el error, influye en su dinámica a corto plazo. Por lo tanto, los ECM estiman directamente la velocidad a la que una variable dependiente vuelve al equilibrio después de un cambio en otras variables."
tf.metrics,"En la recuperación de la información, TF -IIDF (también TF*IDF, TFIDF, TF -IDF o TF -IDF), con el hecho de que la frecuencia de documento de la frecuencia a término -inverso, es una medida de importancia de una palabra para un documento en una colección o corpus, ajustado por el hecho de que algunas palabras parecen con mayor frecuencia en general. Al igual que el modelo de la bolsa de palabras, modela un documento como un multiset de palabras, sin orden de palabras. Es un refinamiento sobre el modelo simple de la bolsa de palabras, al permitir que el peso de las palabras dependa del resto del corpus."
